Lesson,Kanji,On,Kun,Trans
4,漢,カン,—,"китайский, суффикс для людей (чаще неодобрительный)"
1,激,ゲキ,はげしい,яростный
2,濃,,,concentrated
2,濯,,,laundry
1,瀬,,,rapids
5,火,カ,ひ,огонь
2,灯,トー,ひ、ともす,"лампа, свет"
2,灰,,,ashes
2,炭,タン,すみ,уголь
3,点,テン,—,"точка, место, пункт"
1,為,イ,—,делать
3,無,ム,ない,"ничего, без"
3,然,ゼン,—,"так, суффикс признака"
3,焼,ショー,やく,жарить
3,煙,エン,けむり、けむる,дым
2,照,ショー,てる,"светить, сопоставлять, прицеливание"
3,熱,ネツ,あつい,горячий
2,燃,,,burn
2,燥,,,parch
2,爆,バク,はぜる,взрыв
5,父,フ,ちち,отец
3,片,ヘン,かた,"односторонний, один предмет из нескольких, кусок"
3,版,ハン,—,издание
4,牛,ギュー,うし,корова
4,物,ブツ、モツ,もの,вещь
4,特,トク,—,особый
4,犬,ケン,いぬ,собака
2,犯,,,crime
3,状,ジョー,—,"форма, положение, письмо"
1,狂,キョー,くるう,сумасшедший
3,独,ドク,ひとり,"один, в одиночку"
2,狭,,,cramped
2,猫,ビョー,ねこ,кошка
1,玄,ゲン,—,"непостижимый, неочищенный"
2,率,,,rate
3,玉,ギョク,たま,драгоценный камень
3,王,オー,—,правитель
2,珍,,,rare
3,現,ゲン,あらわれる,"появляться, реальность, нынешний"
2,球,キュー,たま,шар
4,理,リ,—,"разум, принцип, закон, теория, управление чем-то"
2,環,,,ring
2,甘,カン,あまい,сладкий
1,甚,ジン,はなはだ,чрезвычайно
5,生,セイ、ショー,いきる、うまれる、はやす,"жизнь, рождаться, студент"
4,産,サン,うむ,"рождать, имущество"
4,用,ヨー,もちいる,"использовать, дело"
4,田,デン,た,рисовое поле
3,由,ユー、ユ,よし,причина
1,甲,コー,—,"панцирь, броня"
3,申,シン,もうす,"говорить, докладывать"
5,男,ダン、ナン,おとこ,мужчина
4,町,チョー,まち,город (небольшой)
4,画,ガ、カク,—,"черта, картина, рисовать"
4,界,カイ,—,"мир, граница, физ. поле"
2,畑,—,はたけ、はた,поле
3,留,リュー,とめる,"останавливать, задерживать"
2,畜,,,livestock
2,略,,,abbreviation
3,番,バン,—,"номер, очерёдность, охрана"
3,異,イ,こと,отличаться
2,畳,,,tatami mat
3,疑,ギ,うたがう,"сомневаться, подозревать"
2,疲,,,exhausted
4,病,ビョー,やむ、やまい,болеть
3,痛,ツー,いたい,боль
2,療,,,heal
4,発,ハツ,—,"испускать, вырабатывать, отправляться, развивать, выявлять"
2,登,トー,のぼる,взбираться
5,白,"ハク
(ビャク)",しろ,"белый, невинность, невиновность"
5,百,ヒャク,もも,сто
3,的,テキ,まと,"цель, суффикс для образования прилагательных"
3,皆,カイ,みな,"все, всё"
1,皇,コー,—,император
2,皮,ヒ,かわ,кожа
2,皿,—,さら,тарелка
1,益,,,benefit
2,盗,,,steal
1,盛,セイ,もる、さかる,"процветать, накладывать"
5,目,モク,め,глаз
3,直,チョク、ジキ,"なおす
(ただちに)","прямой, правильный"
3,相,ソー、ショー,—,взаимный
2,省,,,министерство
2,看,,,watch over
4,県,ケン,—,префектура
4,真,シン,ま,"правда, честный, прямой, усиляющий префикс"
3,眠,ミン,ねむる,спать
1,眺,チョー,ながめる,смотреть
1,眼,ガン,まなこ,глаза
4,着,チャク,きる、つく,"надевать, носить, прибывать, прилипать"
1,瞬,シュン,またたく,"миг, мгновение"
1,矢,シ,や,стрела
4,知,チ,しる,знать
4,短,タン,みじかい,"короткий, недостаток"
3,石,セキ,いし,камень
2,砂,サ,すな,песок
4,研,ケン,とぐ,"точить, изучать"
3,破,ハ,やぶる,"ломать, разрушать, преодолевать"
2,硬,,,stiff
3,確,カク,たしか,"определённый, достоверный"
2,磨,,,grind
3,示,"ジ
(シ)",しめす,"указывать на что-либо, показывать"
3,礼,レイ,—,"поклон, вежливость, благодарность, церемония"
5,社,シャ,やしろ,"компания, святилище, общество"
2,祈,,,pray
2,祖,ソ,—,"предок, основатель"
2,祝,,,праздновать
3,神,"シン
(ジン)",かみ,ками
2,祭,サイ,まつり,фестиваль
2,禁,,,prohibition
3,福,フク,—,"удача, счастье"
1,秀,シュー,ひいでる,превосходить
4,私,シ,わたし、わたくし,"я, свой, личный"
4,秋,シュー,あき,осень
3,科,カ,—,"отделение, отрасль, преступление"
2,秒,ビョー,—,секунда
1,秘,ヒ,ひめる,"секрет, тайна"
1,称,,,appellation
2,移,イ,うつる,"перемещаться, меняться"
3,程,テイ,ほど,"мера, степень, расстояние, распорядок"
2,税,,,tax
3,種,シュ,たね,"семя, биол. вид"
2,積,セキ,つむ,"нагромождать, оценка"
1,穴,ケツ,あな,дыра
4,究,キュー,きわめる,исследовать
5,空,クー,そら、から、あく,"небо, пустота"
3,突,トツ,つく,"ударять, неожиданно"
3,窓,ソー,まど,окно
5,立,リツ,たつ,"вставать, стоять"
1,竜,リュー,たつ,дракон
2,章,ショー,—,"глава (например, книги), значок, эмблема"
2,童,ドー,—,ребёнок
1,端,タン,はし、はた、は,"конец, край, начало, прямой"
2,競,,,подражание
2,竹,チク,たけ,бамбук
3,笑,ショー,わらう、えむ,"смех, улыбка"
2,符,,,token
3,第,ダイ,—,"префикс перед числами, указывающий на порядковый номер"
3,筆,ヒツ,ふで,кисть
3,等,トー、ラ,ひとしい,"равный, класс, разряд, суффикс множественного числа"
1,筋,キン,すじ,"мускул, смысл, сюжет"
2,筒,,,cylinder
4,答,トー,こたえる,ответ
2,算,サン,—,считать
2,管,,,труба
2,箱,—,はこ,коробка
3,節,セツ,ふし,"сустав, узел, мотив, отрезок времени, экономить"
2,築,,,fabricate
2,簡,カン,—,простота
1,籠,ロー,かご、こもる,"корзина, сидеть взаперти"
3,米,ベイ、マイ,こめ,рис
2,粉,,,мука
2,粒,,,grains
3,精,セイ,—,"старание, тщательность, очищать, дух"
2,糸,シ,いと,нить
1,紀,,,летопись
3,約,ヤク,—,"сокращать, приблизительно, обещание"
2,紅,コー,べに、くれない,алый
1,納,,,settlement
2,純,ジュン,—,"беспримесный, чистый"
4,紙,シ,かみ,бумага
2,級,キュー,—,"уровень, ранг"
1,素,ソ、ス,—,"хим. элемент, основа, простой, усилительный префикс"
3,細,サイ,ほそい,"тонкий, маленький, детальный"
2,紹,,,introduce
4,終,シュー,おわる,конец
3,組,ソ,くみ、くむ,команда
3,経,ケイ,へる,"управлять, проходить"
3,結,ケツ,むすぶ、ゆう,"узел, соединять, формировать"
2,絡,,,entwine
3,給,キュー,—,"зарплата, снабжать"
1,統,トー,すべる,"управлять, объединять"
3,絵,エ、カイ,—,картина
3,絶,ゼツ,たえる,"прекращаться, абсолютный"
3,続,ゾク,つづく,продолжаться
2,綿,,,cotton
2,総,,,whole
2,緑,リョク,みどり,зелёный
3,緒,"ショ
(チョ)",お,"начало, чувство"
3,線,セン,—,линия
2,編,ヘン,あむ,"вязать, составлять"
2,練,レン,ねる,"тренироваться, практика"
1,縁,エン,ふち,"узы, связь, родство"
2,績,,,exploits
1,織,ショク,おる,ткать
1,繰,,,winding
3,罪,ザイ,つみ,"преступление, вина, кара"
3,置,チ,おく,класть
2,署,,,government office
3,美,ビ,うつくしい,"прекрасный, красивый"
2,群,グン,むれる,"группа, толпа"
1,義,ギ,—,"справедливость, долг, честь, принцип, смысл"
3,羽,ウ,は、はね,перо
2,翌,,,forthcoming
4,習,シュー,ならう,учиться
3,老,ロー,おいる、ふける,старость
4,考,コー,かんがえる,размышлять
4,者,シャ,もの,"человек, некто"
2,耕,コー,たがやす,земледение
5,耳,ジ,みみ,ухо
1,聖,,,holy
5,聞,"ブン
(モン)",きく,слышать
1,聴,チョー,きく,слушать
3,職,ショク,—,должность
4,肉,ニク,—,"мясо, телесный, физический"
2,肌,,,texture
3,肩,ケン,かた,плечо
2,肯,,,agreement
3,育,イク,そだつ、はぐくむ,"растить, воспитывать"
2,胃,,,желудок
3,背,ハイ,せ、せい、そむく,"сзади, спина, рост, противоречить"
3,胸,キョー,むね,грудь
3,能,ノー,—,"способность, действие, эффект"
2,脂,,,fat
1,脚,,,leg
1,脱,ダツ,ぬぐ,"раздеваться, уклоняться"
2,脳,,,brain
3,腕,ワン,うで,"рука (от плеча до кисти), умение"
3,腰,ヨー,こし,поясница
3,腹,フク,はら,живот
2,膚,,,skin
1,膝,,,knee
2,臓,ゾー,—,внутренности
2,臣,"シン
(ジン)",—,подданный
4,自,"ジ
(シ)",みずから,"сам, свой, личный, свободный"
1,至,シ,いたる,наиболее
1,致,チ,いたす,"навлекать, завлекать"
1,興,コー、キョー,おこる,"развлечение, возрождать, процветать"
1,舎,シャ,—,здание
3,舞,ブ,まい、まう,танец
2,舟,シュー,ふね,лодка
2,航,,,круиз
2,般,,,generally
3,船,セン,ふね,корабль
3,良,リョー,よい,хороший
4,色,ショク、シキ,いろ,"цвет, любовь, секс"
1,芝,,,turf
5,花,カ,はな,цветок
3,芸,ゲイ,—,"искусство, мастерство"
3,若,ジャク,わかい、もしくは,молодой
3,苦,ク,くるしい、にがい,страдать
4,英,エイ,—,"Англия, талант"
4,茶,"チャ
(サ)",—,"чай, беспорядок"
3,草,ソー,くさ,трава
2,荒,コー,あらい、あれる,"бурный, грубый, заброшенный"
2,荷,カ,に,"багаж, груз, ноша"
2,菓,,,confectionery
4,菜,サイ,な,"овощи, зелень, закуска"
1,華,カ,はな,"цветок, великолепие"
3,落,ラク,おちる,"падать, посёлок, юмор"
3,葉,ヨー,は,"лист, листва"
2,著,チョ,あらわす、いちじるしい,"автор, примечательный"
2,蒸,,,foment
3,蔵,ゾー,くら,"кладовая, склад"
3,薄,ハク,うすい,"тонкий, слабый, недостаточный"
4,薬,ヤク,くすり,лекарство
1,藤,トー,ふじ,глициния
1,虚,,,void
2,虫,チュー,むし,насекомое
3,血,ケツ,ち,кровь
1,衆,シュー,—,"массы, народ"
5,行,コー、ギョー,いく、ゆく、おこなう,идти
3,術,ジュツ,—,"искусство, умение"
1,街,ガイ,まち,улица
1,衛,エイ,—,защита
3,衣,イ,ころも,одеяние
3,表,ヒョー,おもて、あらわす,"выражать, поверхность, таблица"
2,袋,,,sack
1,袖,,,sleeve
2,被,,,incur
2,装,ソー,よそおう,"наряд, упаковка, снаряжать"
3,裏,リ,うら,"изнанка, оборотная сторона"
2,補,,,supplement
2,製,,,manufacture
2,複,,,duplicate
1,襲,シュー,おそう,атаковать
5,西,"セイ
(サイ)",にし,запад
3,要,ヨー,いる、かなめ,"быть нужным, требоваться, важный, суть"
5,見,ケン,みる,видеть
2,規,,,rule
1,視,シ,—,"смотреть, зрение"
3,覚,カク,おぼえる、さます,"помнить, чувство, ощущение, просыпаться"
4,親,シン,おや、したしい,"родитель, родство, дружба, близость"
3,観,カン,—,"вид, осматривать, взгляд"
3,角,カク,かど、つの,угол
3,解,カイ,とく,"развязывать, разбирать, понимать, разгадывать, расторгать"
2,触,ショク,さわる、ふれる,"трогать, прикасаться, объявлять"
5,言,"ゲン
(ゴン)","いう
(こと)",сказать
4,計,ケイ,はかる,мерить
2,訓,,,инструкция
3,記,キ,しるす,записывать
2,訪,ホー,おとずれる、たずねる,посещать
2,設,,,establish
3,許,キョ,ゆるす,разрешать
1,訳,ヤク,わけ,"перевод, причина"
1,証,ショー,—,"свидетельство, документ"
3,評,ヒョー,—,"оценка, критика, обсуждение"
2,詞,,,poetry
4,試,シ,ためす、こころみる,испытание
1,詩,シ,—,стих
2,詰,キツ,つめる,"набивать, упакованный"
5,話,ワ,はなし、はなす,разговор
2,誌,,,document
3,認,ニン,みとめる,"признавать, одобрять"
5,語,ゴ,かたる,"язык, слово"
2,誤,,,mistake
4,説,セツ,とく,"объяснять, убеждать, теория"
5,読,"ドク
(トク)",よむ,читать
1,誰,—,だれ,кто
2,課,,,раздел
3,調,チョー,しらべる、ととのう,"музыкальный тон, темп, налаживать, исследовать"
3,談,ダン,—,"разговор, беседа, рассказ"
3,論,ロン,—,"теория, рассуждать"
3,諸,ショ,—,"различные, многие, все"
2,講,,,lecture
3,識,シキ,—,"сознание, знание"
3,警,ケイ,—,"полиция, сторожить"
3,議,ギ,—,"обсуждение, предложение"
1,護,ゴ,—,"охранять, защищать"
3,谷,コク,たに,долина
2,豊,,,bountiful
3,象,ショー、ゾー,—,"слон, явление, объект"
2,貝,—,かい,ракушка
3,負,フ,まける、おう,"минус, нести на себе"
2,財,,,wealth
2,貧,,,poor
2,貨,,,груз
2,販,,,marketing
2,責,セキ,せめる,"ответственность, упрекать, пытать"
2,貯,,,экономить
1,貴,キ,とうとい、たっとい,"ценный, знатный"
5,買,バイ,かう,покупать
4,貸,タイ,かす,одалживать
2,費,,,расходы
2,貿,,,trade
1,賀,,,congratulations
2,賃,,,fare
2,資,シ,—,"средства, ресурсы, капитал"
2,賛,,,approve
2,賞,,,награда
2,賢,,,intelligent
4,質,シツ,—,"качество, характер, материя, качественность"
2,贈,,,presents
4,赤,セキ,あか,красный
4,走,ソー,はしる,бежать
4,起,キ,おきる,"подниматься, просыпаться, начинаться"
2,超,,,transcend
3,越,エツ,こす,пересекать
1,趣,,,gist
5,足,ソク,あし、たりる,нога
1,跡,,,tracks
3,路,ロ,じ,"путь, дорога"
2,踊,,,jump
1,踏,トー,ふむ,ступать
3,身,シン,み,тело
5,車,シャ,くるま,"машина, повозка, колёсное транспортное средство"
3,軍,グン,—,армия
2,軒,ケン,のき,"край крыши, дом"
2,軟,,,soft
4,転,テン,ころがる,"катиться, падать, переходить во что-нибудь"
4,軽,ケイ,かるい、かろやか,лёгкий
2,較,,,contrast
1,載,,,ride
1,輝,,,radiance
1,輩,ハイ,—,товарищ
2,輪,,,колесо
2,輸,,,transport
2,辛,,,spicy
2,辞,,,resign
2,農,ノー,—,сельское хозяйство
3,辺,ヘン,あたり、べ,"окрестности, берег, граница"
3,込,—,こむ,"переполненный, вкладывать, включать"
2,迎,,,welcome
4,近,キン,ちかい,близкий
3,返,ヘン,かえす,"возвращать, ответ"
1,迫,ハク,せまる,наседать
2,述,ジュツ,のべる,высказывать
2,迷,メイ,まよう,"заблудиться, замешательство"
3,追,ツイ,おう,"преследовать, следовать, прогонять"
3,退,タイ,しりぞく,отступать
4,送,ソー,おくる,"посылать, провожать"
3,逃,トー,にげる、のがれる,"убежать, сбежать"
2,逆,ギャク,さからう,"обратный, неблагоприятный"
3,途,ト,—,путь
4,通,ツー,とおる、かよう,"проходить, проезжать, общепринятый, знаток, улица"
2,速,ソク,はやい、すみやか,быстрый
3,造,ゾー,つくる,изготовлять
3,連,レン,つれる、つらなる,"брать с собой, соединение, группа, компания"
5,週,シュー,—,неделя
4,進,シン,すすむ,продвигаться
1,遂,,,consummate
2,遅,チ,おくれる,"поздний, медленный"
3,遊,ユー,あそぶ,"играть, развлекаться, путешествовать"
4,運,ウン,はこぶ,"судьба, удача, перевозить, двигаться"
3,過,カ,すぎる、あやまち,"проходить, превышать, ошибка"
5,道,ドー,みち,"дорога, область искусства"
3,達,タツ、タチ,—,"достигать, доставлять, суффикс множественного числа"
3,違,イ,ちがう,"отличаться, ошибаться"
4,遠,エン,とおい,далёкий
1,遣,ケン,つかわす,"отправлять, посылать"
2,適,,,suitable
2,選,セン,えらぶ,выбирать
1,遺,,,bequeath
1,那,ナ,—,"что, употребляется фонетически"
1,邪,ジャ,—,"злой, дурной"
2,郊,,,outskirts
1,郎,ロー,—,молодой мужчина
3,部,ブ,—,"часть, отдел, отделение, экземпляр"
2,郵,,,mail
1,郷,キョー、ゴー,—,"родина, деревня"
4,都,ト,みやこ,"столица, город"
3,配,ハイ,くばる,распределять
3,酒,シュ,さけ,"алкоголь, сакэ"
1,酔,スイ,よう,пьяный
1,里,リ,さと,"деревня, родной город"
4,重,ジュー、チョー,おもい、かさねる,тяжёлый
4,野,ヤ,の,"поле, дикий"
2,量,リョー,はかる,"количество, вес, объём, измерять"
5,金,キン,かね,"золото, деньги"
2,針,,,needle
2,鈍,,,dull
2,鉄,テツ,—,железо
2,鉱,,,mineral
4,銀,ギン,—,серебро
2,銅,,,copper
1,銭,セン,ぜに,"деньги, монета"
2,鋭,,,pointed
2,録,,,расшифровка
1,鏡,キョー,かがみ,зеркало
5,長,チョー,ながい,"длинный, начальник"
4,門,モン,かど,"ворота, школа, род"
2,閉,ヘイ,とじる、しめる,закрывать
4,開,カイ,ひらく、あく,открывать
5,間,カン,あいだ、ま,"промежуток, комната"
3,関,カン,"かかわる
(せき)","застава, барьер, иметь отношение"
1,闇,—,やみ,"тьма, чёрный рынок"
1,闘,トー,たたかう,"борьба, состязание"
2,防,,,resist
1,附,フ,つける,вариант знака 付
3,降,コー,おりる、ふる,"спускаться, сдаваться, идти (о дожде, снеге)"
3,限,ゲン,かぎる,ограничивать
4,院,イン,—,"учреждение, парламент"
1,陣,,,camp
2,除,,,exclude
1,陰,,,shade
2,陸,,,земля
2,険,ケン,けわしい,"крутой, опасный"
3,陽,ヨー,—,"солнце, ян"
2,隅,,,corner
1,隊,タイ,—,отряд
3,階,カイ,—,"этаж, ступень, уровень"
1,随,,,follow
3,際,サイ,きわ,край
1,障,,,hurt
1,隠,イン,かくす,прятать
1,隣,リン,となり、となる,соседний
1,雄,ユー,おす,"самец, величественный"
4,集,シュー,あつまる、つどう,собирать
2,雇,,,employ
3,雑,"ザツ
(ゾー)",—,"всякие, грубый, беспорядок"
1,離,リ,はなれる,"отделяться, расставаться"
3,難,ナン,むずかしい、かたい,"трудный, бедствие, порицать"
5,雨,ウ,あめ,дождь
3,雪,セツ,ゆき,снег
3,雲,ウン,くも,облако
2,零,,,zero
5,電,デン,—,электричество
2,震,シン,ふるえる,"дрожать, трястись, землетрясение"
1,霊,レイ,たま,дух
1,露,ロ,つゆ,"роса, на открытом воздухе, Россия"
4,青,セイ,あお,"синий, голубой"
3,静,セイ,しずか,"тихий, спокойный"
3,非,ヒ,—,"не, плохой, неправильный"
3,面,メン,おもて、おも、つら,"лицо, поверхность, грань, сторона"
2,革,,,leather
2,靴,,,shoes
4,音,オン,おと、ね,звук
1,響,キョー,ひびく,эхо
2,頂,,,place on the head
1,頃,—,ころ,время
2,順,,,согласие
2,預,,,deposit
2,領,,,territory
1,頬,—,ほお,щека
4,頭,トー,あたま,голова
3,頼,ライ,たのむ、たよる,"просить, поручать, полагаться"
4,題,ダイ,—,"заглавие, тема"
2,額,,,amount
4,顔,ガン,かお,лицо
3,願,ガン,ねがう,"просить, желать"
3,類,ルイ,たぐい,"сорт, сходство"
4,風,フー,かぜ,"ветер, вид, манера, обычаи"
3,飛,ヒ,とぶ,летать
5,食,ショク,たべる、くう,еда
4,飯,ハン,めし,"еда, варёный рис"
5,飲,イン,のむ,пить
1,飾,,,decorate
1,養,ヨー,やしなう,"разводить, выращивать, растить, питание"
4,館,カン,(やかた),общественное здание
4,首,シュ,くび,"шея, главный"
3,香,コー,かおり,аромат
3,馬,バ,うま,лошадь
1,駄,ダ,—,"скверный, вьюк"
5,駅,エキ,—,вокзал
1,駆,ク,かける,"мчаться, прогонять, ехать верхом"
2,駐,,,stop-over
1,騒,ソー,さわぐ,"шуметь, суетиться"
4,験,ケン,—,"испытывать, проверять, опыт"
1,驚,キョー,おどろく,удивляться
3,骨,コツ,ほね,кость
5,高,コー,たかい,высокий
3,髪,ハツ,かみ,волосы (на голове)
1,鬼,キ,おに,о́ни
1,魂,,,soul
1,魔,マ,—,"демон, волшебство"
5,魚,ギョ,"さかな
(うお)",рыба
4,鳥,チョー,とり,птица
3,鳴,メイ,なく,"звучать, чирикать, щебетать, мычать и т. д."
1,鶴,,,crane
1,鹿,—,"しか
(か)",олень
1,麗,レイ,うるわしい,"восхитительный, прекрасный, изящный"
2,麦,バク,むぎ,зерновые
2,黄,コー、オー,き,жёлтый
4,黒,コク,くろ,чёрный
1,黙,モク,だまる,молчать
3,鼻,ビ,はな,нос
2,齢,,,age
