Lesson,Kanji,On,Kun,Trans
4,勉,ベン,つとめる,стараться
4,動,ドー,うごく,двигаться
1,勘,,,intuition
2,務,ム,つとめる,"долг, обязанности, дела"
3,勝,ショー,かつ、まさる,побеждать
2,募,,,recruit
3,勢,"セイ
(ゼイ)",いきおい,"сила, мощь, энергия, ход событий"
2,勤,,,diligence
1,勧,カン,すすめる,"советовать, побуждать, поощрять"
2,包,ホー,つつむ,"обёртывать, заворачивать"
3,化,カ,ばける,"изменяться, превращаться"
5,北,ホク,きた,север
2,匹,,,equal
4,区,ク,—,район
4,医,イ,—,доктор
5,十,ジュー,"とお
(と)",десять
5,千,セン,ち,тысяча
5,午,ゴ,—,полдень
5,半,ハン,なかば,половина
2,卒,,,выпускаться
1,卓,,,eminent
2,協,,,сотрудничество
5,南,ナン,みなみ,юг
3,単,タン,—,"простой, отдельный, единичный"
1,博,ハク、バク,—,"эрудиция, азартная игра"
2,占,,,fortune telling
2,印,イン,しるし,"знак, печать"
2,危,キ,あぶない、あやうい,опасный
1,即,ソク,—,немедленно
1,却,,,instead
2,卵,,,egg
2,厚,,,rich
3,原,ゲン,はら,луг
1,厳,,,strict
4,去,キョ,さる,уходить
3,参,サン,まいる,"участвовать, приходить, идти, посетить"
1,又,—,また,опять
1,及,キュー,およぶ,"достигать, упоминать"
5,友,ユー,とも,друг
2,双,,,pair
3,反,ハン,そる,"против, анти-"
2,収,シュー,おさめる,"доход, получать, собирать, сжимать"
1,叔,,,uncle
3,取,シュ,とる,брать
3,受,ジュ,うける,"принимать, подвергаться"
5,口,"コー
(ク)",くち,"рот, уста, язык/речь, отверстие"
5,古,コ,ふるい,старый
1,句,ク,—,фраза
3,叫,キョー,さけぶ,кричать
2,召,ショー,めす,вызывать
3,可,カ,—,"одобрять, возможный"
4,台,"ダイ
(タイ)",—,"подставка, возвышение"
3,史,シ,—,история
5,右,"ウ
(ユー)",みぎ,право
3,号,ゴー,—,"номер, знак"
2,司,シ,—,"управлять, ведать"
2,各,カク,おのおの,каждый
4,合,ゴー、ガッ,あう,"соединять, подходить"
1,吉,キチ、キツ,—,удача
4,同,ドー,おなじ,"одинаковый, вышеупомянутый"
5,名,メイ、ミョー,な,"имя, название"
1,吐,ト,はく,тошнить
3,向,コー,むく,направление
3,君,クン,きみ,ты
2,否,,,negate
2,含,,,include
2,吸,キュー,すう,"сосать, курить, высасывать"
3,吹,スイ,ふく,дуть
1,呂,ロ,—,"ванна, звучание"
1,呉,ゴ,—,давать
3,告,コク,つげる,сообщать
2,周,シュー,まわり,окружность
4,味,ミ,あじ,вкус
3,呼,コ,よぶ,звать
3,命,メイ,いのち,"жизнь, приказ"
3,和,ワ,やわらぐ、なごむ,"гармония, мягкий, японский"
2,咲,,,blossom
1,哀,,,pathetic
4,品,ヒン,しな,"товар, качество чего-либо"
4,員,イン,—,"работник, сотрудник, член"
1,哲,,,philosophy
1,唯,ユイ,—,"только, единственный"
3,商,ショー,あきなう,торговать
4,問,モン,とう,вопрос
3,善,ゼン,よい,"добро, правильный"
3,喜,キ,よろこぶ,радоваться
2,喫,,,consume
2,営,,,manage
3,器,キ,うつわ,"сосуд, инструмент, способности"
5,四,シ,"よん、よっつ
(よつ)",четыре
4,回,カイ,まわる,"раз, вращать"
2,因,イン,よる,причина
3,団,ダン,—,"объединение, группа"
3,困,コン,こまる,затруднение
3,囲,イ,かこむ,окружать
4,図,ズ、ト,はかる,"план, карта, чертёж"
2,固,コ,かたい,твёрдый
5,国,コク,くに,страна
2,園,エン,その,сад
5,土,ド,つち,"земля, почва"
2,圧,,,pressure
3,在,ザイ,ある,"быть, существовать"
4,地,チ、ジ,—,"земля, почва"
3,坂,ハン,さか,холм
2,均,,,level
2,坊,ボー,—,"мальчик, монах, суффикс лица"
2,型,,,модель
2,埋,,,bury
3,城,ジョー,しろ,"замок, крепость"
2,域,,,range
1,執,,,tenacious
2,基,,,foundation
4,堂,ドー,—,зал
1,堪,,,withstand
3,報,ホー,むくいる,"сообщение, известие, отплачивать"
4,場,ジョー,ば,"место, рынок, физ. поле"
2,塔,,,pagoda
2,塗,,,paint
2,塩,,,соль
2,境,キョー,さかい,"граница, обстоятельства, состояние"
1,墓,,,grave
2,増,,,increase
3,壁,ヘキ,かべ,стена
1,士,シ,—,"воин, благородный муж"
4,声,セイ,こえ,голос
4,売,バイ,うる,продавать
3,変,ヘン,かわる,"изменяться, странный, происшествие, несчастный случай"
